reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"Boss ₹12000 ka EMI time pe nahi aaya. Aapka CIBIL score bhi kharab hoga. Definitely, aapko settlement offer karte hain. Aap ₹10000 pe settlement kar lein?","nahi kar sakta, kuch din baad try karta hun",refusal,64,12000,business loan EMI,evasive,hyderabad,,,,,True,False
"Re ₹8000 EMI 12 din overdue. CIBIL affect hoga, kay kar rahe ho? UPI link: rzp.io/pay","thoda patience rakho bhai, kal hi kar denge 🙏🙏",promise_to_pay,12,8000,mobile loan EMI,polite,mumbai,kal,8000,,patience,True,False
"Arjun ji, ₹15000 EMI due hai. Aapka CIBIL score bahut kamzor hai, isse sudharne ke liye ₹5000 abhi payment karein","Thoda time chahiye, main agle hafte ₹3000 pay kar deta hoon, baki ₹6200 next month dena hoga kya?",dispute,19,15000,mobile loan EMI,evasive,chennai,next week,15000,,delayed payment,True,False
Kya re ₹10000 EMI pending hai. UPI se payment kar sakte hain. Full payment karne ka kya plan hai?,Bhai ₹5000 abhi nahi ho payega. Kal baat karte hain. Abhi busy hoon 🤕 😔,partial_payment,71,10000,bike loan EMI,evasive,mumbai,,,,,False,False
Kumar ji ₹20000 bike loan EMI pending hai. Aapka DPD 82 days ho gaya hai. ₹10000 clear karein toh ₹2000 late fees maaf karenge.,Kuch din aur de do sir main try karta hun 🕊️,refusal,82,20000,bike loan EMI,evasive,hyderabad,,,,time constraint,False,False
Boss ₹20000 ki EMI time se nahi mili hai. Settlement option bhi hum offer kar sakte hain. Jaldi se reply karein.,"Anna ₹10000 abhi bhejta hun, baaki 2 hafte mein pakka ✅",partial_payment,55,20000,mobile loan EMI,polite,hyderabad,2 weeks,10000,,,False,False
"Yaar ₹12000 ki bike loan EMI 86 din se due hai. Aapki CIBIL score kharab ho sakti hai. Pakka settlement offer hai, 5500 de do aur case close.","Thoda samay do, maine paise jama karne hain, 10 din mein kar dunga 🙏",dispute,86,12000,bike loan EMI,evasive,delhi,10 days,12000,amount not clear,short of funds,True,False
"Arre, ₹6000 38 din ho gaye, EMI pending hai. Late fees lag rahi hai. Aapki CIBIL score bhi impact ho raha hai. Thoda settlement karein?","Yaar, abhi thoda muskil hain, 15 din aur do, fir settle kar dunga 🙏",needs_more_time,38,6000,mobile loan EMI,polite,mumbai,15 din,6000,,financial constraint,True,False
Arjun ji 1st reminder — ₹6500 EMI 8 din overdue. CIBIL score affect hoga. Abhi UPI se kar dein: rzp.io/pay,Sun bhai friday ko salary aayegi usse pehle kar dunga 🙏,promise_to_pay,8,6500,business loan EMI,cooperative,delhi,friday,6500,,salary,True,False
"Madam, ₹15000 ka loan 31 din se pending hai. UPI se payment karein ya phir CIBIL score kharaab ho sakta hai.","Abhi kuch problem hai, next month karta hun",refusal,31,15000,personal loan EMI,resigned,hyderabad,,,,vague timeline,True,False
"Vijay ji ₹18000 EMI bahut der se pending hai. Settlement karne se late fees bach sakte hain, aur CIBIL score bhi safe rahega.","Mujhe ₹5000 hi karne hain, ₹13000 next month karunga, aur ₹5000 uske baad. ✅",needs_more_time,27,18000,business loan EMI,cooperative,delhi,next month,13000,,installment plan,True,False
"Saurabh ji, aapka ₹11000 personal loan EMI 75 days overdue hai. Legal notice bhejna pad sakta hai.","Arre bhai, kuch nai bolna. 5500 abhi bhejta hun, baaki 20 tarikh ko pakka.",partial_payment,75,11000,personal loan EMI,angry,mumbai,20,5500,,none,False,True
"Suresh ji ₹10000 EMI pending hai, aapka loan account close ho sakta hai. Turant payment karein.","yaar abhi 4000 bhej sakta hun, baaki 12 din mein pakka",partial_payment,20,10000,personal loan EMI,worried,delhi,12 days,4000,,,False,False
Sir ₹22000 ka EMI due ho gaya hai. Aapka CIBIL score bhi impact hoga. Payment karein please.,Abhi nahi kar sakta. Next month zarur karta hun.,refusal,11,22000,credit line EMI,evasive,hyderabad,,,,unspecific timeline,True,False
"Priya ji, ₹10000 ka EMI 28 din se pending hai. Aapka CIBIL score kharab ho sakta hai. ₹10000 UPI se settle karein.","Sir, mera account se paise nahi nikal rahe. Kal try karta hun 🤞 🙏",refusal,28,10000,personal loan EMI,worried,bangalore,kal,,,technical issue,True,False
"Preeti ji, ₹18000 ka EMI 61 days se pending hai. Late fees bhi lag rahi hai, ₹5000 abhi bhej do.","Yaar, maine abhi₹2000 bheja hai, baaki ₹16000 kal bhejne ki koshish karta hun. 🙏🙏",partial_payment,61,18000,mobile loan EMI,polite,delhi,tomorrow,16000,,temporary financial difficulties,False,False
"Kavita ji, ₹15000 EMI 21 din overdue hai. CIBIL score impact hoga. Settlement karne ke liye call karein 040-12345678","Abhi nahi ho payega, boss, next month pakka kar dunga",promise_to_pay,21,15000,business loan EMI,evasive,hyderabad,next month,15000,,vague,True,False
"Rohan ji, ₹3500 ka EMI 11 din ho gaye hain, aap turant payment karwa sakte hain? https://payment.link","Sorry bhai, mujhe pata nahi chala ki payment due thi, main kal tak payment karwa deta hoon. 🤞 😔",dispute,11,3500,personal loan EMI,apologetic,delhi,kal,3500,,lack of awareness,False,False
"Kay, Vikas ji ₹9500 EMI miss ho gayi. Aapke account mein legal notice jari kiya jayega. Kya aapne koi problem hai?","Haan, maine business mein nuksan uthaya hai, thoda time chahiye ✅",dispute,57,9500,business loan EMI,evasive,bangalore,next month,,business problem,business loss,False,True
"Hi, aapka ₹10000 ka BNPL payment 13 din se overdue hai. Aapko CIBIL score bhi affect hoga. Aap full payment kar sakte hain ya partial payment kar sakte hain? UPI se payment karne ke liye yeh link use karein: <link>","Okay ra boss ₹5000 abhi bhej raha hun, baaki 20 din mein zaroor bhejunga",partial_payment,13,10000,BNPL payment,cooperative,hyderabad,20,5000,,,True,False
"Vikram ji, ₹6000 personal loan EMI 60 din se pending hai. Aapko pata hai ki late fees kitni lag rahi hai. Abhi tak kya plan hai?","Paisa nahi hai, yaar. Mai kuch nahi kar sakta.",needs_more_time,60,6000,personal loan EMI,angry,delhi,,,,no_money,False,False
₹22000 EMI kal due thi. Aaj tak payment nahi aayi. UPI se kar dein: rzp.io/pay CIBIL score affect hoga,"Bhai office ka kaam hai, abhi nahi kar paaunga. Thoda time do",promise_to_pay,30,22000,personal loan EMI,desperate,delhi,,,,busy,True,False
"Sachin ji, ₹3500 mobile loan EMI 49 din se overdue hai. Late fees lag rahi hai, aapko UPI se payment karna hoga. Kay aap settle karne ke liye ready hain?","Lagech bhai, main kal hi payment kar dunga. Ghar mein problem chal rahi thi 🙏",needs_more_time,49,3500,mobile loan EMI,worried,mumbai,tomorrow,3500,,family_problem,False,False
Ma'am ₹4900 ki EMI pending hai. Aapka CIBIL score kharab ho sakta hai. Bekku payment karein.,"Sir, mera business thoda slow chal raha hai. Ek hafte mein payment kar deti hoon. 🙏",dispute,29,4900,business loan EMI,evasive,bangalore,1 week,4900,,business slow,True,False
"Amit ji, ₹8000 ki EMI 49 din overdue hai. Late fees lagu ho gayi hai. Settlement ke liye turant contact karein. UPI: rzp.io/pay","bhai thoda time do, bolunga toh usse pehle payment kar denge 🤞",promise_to_pay,49,8000,business loan EMI,cooperative,delhi,,,,time_request,False,True
"Pooja sir ₹15000 EMI pending hai. ₹5000 abhi bhejo, baaki ₹10000 15 din mein, nahi to CIBIL score kharab ho sakta hai","Sir ₹3000 abhi bhej raha hun, baaki ₹12000 20 din mein bejoonga, aap bekku settlement karwa do",partial_payment,60,15000,business loan EMI,cooperative,bangalore,20,12000,late fees,financial difficulties,True,False
"Amit ji, aapka ₹12000 EMI 69 din se pending hai. Abhi UPI se kar dein: rzp.io/pay. Hum aapko ek bar aur reminder denge, phir humein legal action lena padega.",Kaun sa loan? Maine to sab payment kar diye hain. ✅,promise_to_pay,69,12000,business loan EMI,evasive,hyderabad,,,payment already made,,False,True
"Sachin ji ₹10000 business loan EMI 3 mahine se pending hai. Aapka account NPA ho raha hai. Turant ₹6000 settle karein, baaki ₹4000 next week tak kar dena.","bhai ₹3000 kal tak kar dunga, baaki ₹7000 agle hafte tak kar dunga, pakka 🙏",needs_more_time,89,10000,business loan EMI,resigned,chennai,tomorrow,3000,,family_problem,False,False
"Rahul ji ₹8500 business loan EMI 89 din se overdue hai. Turant payment karein, varna late fees lag jayegi.","bhai yaar thoda aur time do, pakka kal se kal ₹4000 deposit kar dunga, baaki ₹4500 agle hafte tak kar dunga",needs_more_time,89,8500,business loan EMI,polite,delhi,tomorrow,4000,,family_problem,False,False
"Sir, ₹6500 ka aapka bike loan EMI 21 din se pending hai. Aaj settle karein toh aapka CIBIL score bhi safe rahega.","bekku sir, 5 din mein doonga, abhi ghar mein kuch problem hai 😢",needs_more_time,21,6500,bike loan EMI,cooperative,bangalore,5 din,6500,,family issues,True,False
"Sir, ₹18000 mobile loan EMI pending hai. Late fees lagu ho gaya hai. Aapki CIBIL score ko nuksan ho raha hai.","Sorry sir, ₹9000 abhi transfer kar deta hun. Baaki 1 hafte mein zaroor karunga.",partial_payment,28,18000,mobile loan EMI,polite,hyderabad,1 week,9000,,temporary financial difficulties,True,False
"Amit ji, bike loan EMI ₹9500 ab tak nahi aayi. 47 din ho gaye. CIBIL score kharab hoga. UPI se kar dein: rzp.io/pay","lagech, abhi kar dunga. Kuch personal issues the 😔",promise_to_pay,47,9500,bike loan EMI,cooperative,mumbai,today,9500,,personal issues,True,False
Rohit ji ₹18000 EMI 28 din overdue hai. CIBIL score impact hoga. Abhi karein: rzp.io/pay. Late fees ₹1500 lag rahi hai.,Kya kar sakte hai? Kabhi kabhi thoda tight ho jaata hai.,promise_to_pay,28,18000,personal loan EMI,evasive,hyderabad,,,,financial_difficulty,True,False
Rahul ji ₹18000 EMI overdue hai. Late fees ₹500 lag gaye hain. ₹9000 abhi bhej sakte hain? 📝,"₹9000 abhi bhej sakta hun, baaki 25 tarikh ko bhejunga, sir please late fees maaf kar dena",partial_payment,2,18000,credit line EMI,worried,bangalore,25,9000,,long_term_financial_difficulty,False,False
"Arre, aapka ₹6500 ka bike loan EMI 60 days se overdue hai. Aapko ₹10000 dena hoga, late fees ke saath. Payment karein, nako aapko CIBIL report bhejna padega.","Sorry re, maine payment kiya tha, aapke system mein lagta hai delay hai. Mera CIBIL score kharab na ho, thoda time do. Maine already ₹5000 ki payment ki hai, aap check karke batao.",dispute,60,6500,bike loan EMI,polite,mumbai,,5000,payment issue,system delay,True,False
"Ankit bhai ₹8500 ka EMI baki hai, 62 din se pending hai. Turant payment karein.","Yaar maine 10 din pehle UPI kar diya tha, aap check kar lo system mein problem hai. 😢",dispute,62,8500,mobile loan EMI,polite,delhi,,,payment,system,False,False
Deepak ji aapka ₹28000 personal loan EMI 55 din se due hai. Aaj settle karein nahi to legal notice jayega.,"bhai bol, maine paise arrange kar liye hain, kal tak payment kar dunga",needs_more_time,55,28000,personal loan EMI,resigned,up,1 din,28000,,arranging_funds,False,True
"Amit bhai, ₹6500 ki EMI 42 din ho gaye. Turant payment karein.",yaar system mein problem hai maine 4 din pehle UPI kar diya tha,dispute,42,6500,mobile loan EMI,polite,delhi,,,payment already made,system issue,False,False
Aapka bike loan account ₹6000 ki EMI ke sath 62 days se overdue hai. Aapko CIBIL score bhi kharab hoga.,"Okay ra boss, maine payment kiya tha lekin aap log apne system mein update nahi kiya, ab main kya karun? 🙏🙏",dispute,62,6000,bike loan EMI,worried,hyderabad,,,payment not updated,,True,False
"Namaste sir, ₹25000 ka EMI pending hai, 46 days se overdue hai. UPI maadtini ₹25000 abhi clear karein, nahi toh CIBIL score par impact padega.","illa bekku, 2-3 din mein transaction kar deta hun",refusal,46,25000,mobile loan EMI,evasive,bangalore,,,,vague timelines,True,False
"Arre, ₹9500 EMI 59 din se pending hai. CIBIL score kharab ho jayega. Abhi tak kyun nahi kiya settlement?","Nako, abhi paisa nahi hai. Thoda time do, next week kar dunga.",needs_more_time,59,9500,mobile loan EMI,worried,hyderabad,next week,,,financial_problem,True,False
₹9000 EMI 36 din overdue hai. Settle karne ke liye UPI se karein: rzp.io/pay. CIBIL affect ho sakta hai. Legal notice bhi bhej sakte hain.,"abhi nahi kar sakte, bank account mein balance nahi hai 😓",promise_to_pay,36,9000,business loan EMI,desperate,bangalore,,,,lack of funds,True,True
"Sir, ₹6500 ka aapka bike loan EMI 21 din se pending hai. Aaj settle karein toh aapka CIBIL score bhi safe rahega.","bekku sir, 5 din mein doonga, abhi ghar mein kuch problem hai",needs_more_time,21,6500,bike loan EMI,cooperative,bangalore,5 din,6500,,family issues,True,False
"Rajesh ji, ₹8000 bike loan EMI 15 din overdue hai. Late fees lagu ho rahi hai. Settlement ke liye contact karein: rzp.io/pay","bhai thoda time do, salary aane wali hai, next week payment kar dunga 🙏",promise_to_pay,15,8000,bike loan EMI,cooperative,hyderabad,next week,8000,,waiting_for_salary,False,False
"Rahul ji, aapka ₹3200 EMI 13 din due ho gaye hain. UPI se kar dein toh turant: rzp.io/pay","bhai kal pakka kar dunga, aaj ghar mein kuch urgent kaam tha 🙏",promise_to_pay,13,3200,mobile loan EMI,polite,delhi,tomorrow,3200,,personal issue,False,False
"Rajesh ji, ₹7000 EMI 87 din overdue. CIBIL score affect hoga. Settlement offer: ₹1000 discount. Abhi karein: rzp.io/pay","Bhai aapne pehle se kyun nahi bataya, ab kar dunga 🙏",promise_to_pay,87,7000,personal loan EMI,resigned,bangalore,,,,lack_of_communication,True,False
Amit bhai ₹8000 EMI 28 din overdue. Bekku late fees bhi lagega. Abhi karein: rzp.io/pay,"abhi kar dete, office se nikal ke 👍",promise_to_pay,28,8000,credit line EMI,cooperative,bangalore,abhi,8000,,office work,False,False
"Bhai, ₹5500 ke EMI ka payment karo, UPI se turant kar sakte ho, 25 din ho gaye","Nahi kar sakta, abhi kuch nahi kar sakte, bolte raho",refusal,25,5500,credit line EMI,angry,delhi,,,,,False,False
"Sandeep bhai, ₹15000 bike loan EMI 2 din se overdue hai. Bol, kab tak payment karoge? UPI link bhej raha hun.","Yaar, mera loan account check kar lo, galat EMI amount aa raha hai, isse settle kar lo please 🤔",needs_more_time,2,15000,bike loan EMI,evasive,chennai,,,account issues,,False,False
Suman ji ₹50000 ka BNPL payment 74 days overdue hai. CIBIL score kharaab hoga. ₹3000 ka settlement offer hai,Maine paise nahi hain. Kabhi nahi denge 😊,refusal,74,50000,BNPL payment,angry,bangalore,,,,financial difficulties,True,False
"Sunita ji, ₹28000 ka EMI due hai. RBI guidelines ke mutabiq, aapko legal notice bhejna padega. Thoda bataiye aap kab tak payment karoge?","Lagech 1-2 din, main kuch din pehle apply karne wali thi",refusal,33,28000,credit line EMI,worried,mumbai,1-2 days,,,unemployment,True,True
"Namaste Ramesh anna, aapka ₹8500 ka personal loan EMI 2 din se overdue hai. Late fees bhi lag rahi hai. Aapko settlement link bhej raha hoon. UPI se aaj hi pay karein.","Sorry boss, paise abhi nhi hain, next week zarur karenge 🙏",needs_more_time,2,8500,personal loan EMI,polite,hyderabad,next week,,,financial difficulties,False,False
"Rahul bhai, ₹28000 EMI 79 din se pending hai. RBI guidelines ke mutabiq legal action lena padega.","bekku, ₹15000 kar dunga, ₹13000 aur ke liye 10 din aur chahiye",needs_more_time,79,28000,credit line EMI,worried,kolkata,10 din,13000,,business_expansion,False,True
"Sir, ₹15000 ki EMI 57 din se pending hai. Legal action liya ja sakta hai. Aapne kab tak payment karne ka iraada hai?","Illa, thoda time de do. Next week kar dunga",promise_to_pay,57,15000,mobile loan EMI,worried,bangalore,next week,,,time request,False,True
"Ankit ji, ₹5000 ka EMI 43 din se pending hai. Agar payment nahi hota to CIBIL score affect hoga aur settlement pakka nahi hoga.","Bol, maine payment kar diya tha, aap log documents check karo. Settlement ke liye kya karna hoga?",dispute,43,5000,bike loan EMI,cooperative,delhi,,,payment already made,documentation issue,True,False
Arre ₹25000 bike loan EMI ka 53 din ho gaye. Ab CIBIL score kharab hoga. Thoda settlement kar lo,"Re nako, abhi to kuchh nahi kar sakte. Pura paisa dena hai to dena, lekin abhi nahi ho payega",refusal,53,25000,bike loan EMI,polite,mumbai,,,,financial constraint,True,False
"Ramesh ji, ₹4500 ka EMI 3 din se pending hai. Turant payment karein, kay late fees se bach sakte hain.","Nako bhai, abhi paisa nahi hai, next month double kar dunga.",needs_more_time,3,4500,credit line EMI,resigned,hyderabad,next month,4500,,financial,False,False
"Priya ji, ₹6200 ka loan EMI miss ho gaya. Late fees ₹500 extra lagega. Kripya UPI se payment karein.","Yeh amount galat hai, mera loan 5800 ka tha. Extra charges kyun? 🤔",dispute,29,6200,business loan EMI,angry,bangalore,,,Incorrect amount,Miscalculation,False,False
"Bhai ₹7000 ki EMI due hai, aapko legal notice bhejna padega agar aap payment nahi karte.","sorry yaar, maine payment kar diya tha, aap check karo aur amount ₹6000 ka tha.",dispute,48,7000,personal loan EMI,worried,delhi,,,payment not reflected and incorrect amount,payment already made and incorrect charges,False,True
"Ramesh ji, ₹12000 ka EMI 7 din se pending hai. Late fees bhi lagu ho gaye hain. Okay ra, aap kab tak payment karenge?","enti, nahi kar sakta abhi, settlement ke liye bolo ✅",refusal,7,12000,mobile loan EMI,evasive,hyderabad,,,,financial difficulties,False,False
"Arre Amit ji, ₹2800 EMI 15 din overdue. CIBIL score kharaab ho sakta hai. Abhi kar dein: rzp.io/pay","Nahi bhai, abhi nahi kar sakta. Thoda time chahiye",promise_to_pay,15,2800,business loan EMI,worried,mumbai,,,,time,True,False
Seema ji ₹18000 bike loan EMI clear karein please. Aapka DPD 82 days ho gaya hai. ₹5000 late fees lag gaya hai.,Sorry sir bekku nhi hai abhi 🙏,refusal,82,18000,bike loan EMI,polite,bangalore,,,,financial constraint,False,False
"Amit ji 3rd reminder — ₹9000 EMI 88 din overdue. Late fees ₹1500 lag chuke hain. Bol, kab karoge payment?","bhai thoda time do, salary abhi nai aayi, agle hafte pakka kar dunga 🙏",promise_to_pay,88,9000,bike loan EMI,cooperative,delhi,agle hafte,,,salary issue,False,False
"Vikram ji, ₹7500 EMI 12 din overdue. Abhi karein: rzp.io/pay. Definitely, CIBIL score affect hoga 🙏","Sorry bhai, aaj office mein busy tha. Friday ko salary aayegi, usse pehle transfer kar dunga 🙏",promise_to_pay,12,7500,bike loan EMI,polite,hyderabad,Friday,7500,,salary,True,False
"Ramesh ₹2200 ka baki hai, 16 din se due hai. Aapka CIBIL score kharab ho raha hai. Kuch karein","Enti anna, abhi thoda time do, settlement kar lo",refusal,16,2200,credit line EMI,resigned,hyderabad,,,,,True,False
"Kay re, ₹9500 BNPL payment 72 din se overdue hai. Late fees lag rahi hai, aaj settle karein?","Arre bhai, paisa nahi h, mummy hospital mein hain, thoda aur time do please",needs_more_time,72,9500,BNPL payment,worried,mumbai,,,,family_problem,False,False
Rakesh ji ₹15000 ka BNPL payment 20 din se overdue hai. Aapki CIBIL score par impact pad sakta hai. Settlement karne ke liye UPI use karein,"kuchh din aur de do, mera business thoda slow chal raha hai, zarur kar dunnga 🤞",needs_more_time,20,15000,BNPL payment,evasive,hyderabad,,,,business issue,True,False
"Rahul ji ₹8000 ka BNPL payment 20 din se overdue hai. Late fees lag rahi hai, aapki CIBIL score bhi impact ho sakti hai. UPI se settlement karein","boss, thoda aur time chahiye, next week tak zarur kar dunga, okay ra 🤞 😔",needs_more_time,20,8000,BNPL payment,polite,hyderabad,next week,,,financial constraint,True,False
"₹5000 ka EMI due hai, sir. 15 din ho gaye. Settlement option bhi available hai. Interest rate kam karwa sakte hain.","Nahi, maine to 3 din pehle payment kar diya tha. Aap check karein",dispute,15,5000,personal loan EMI,angry,bangalore,,,payment already made,system error,False,False
"Pooja ji, ₹3500 ka payment 25 din se due hai. Bekku settlement karne ke liye call karein.",Mujhe ₹2000 extra kyun maang rahe ho? Mera loan ₹1800 ka tha.,dispute,25,3500,BNPL payment,cooperative,bangalore,,,incorrect amount,billing error,False,False
"Sir, ₹7200 EMI miss ho gayi. CIBIL score kharaab hoga. Settlement karein.","Sorry sir, maine try kiya tha, lekin paise nahi the. Ek hafte mein karta hoon 🤕",dispute,44,7200,bike loan EMI,worried,bangalore,1 week,,,financial,True,False
"Namaste sir, ₹8000 ka payment 73 din se pending hai. Aapke CIBIL score par asar pad sakta hai. UPI maadtini ₹6000 pe settlement offer karte hain.","illa bekku, main kuch din mein payment kar dunga 🙏",refusal,73,8000,BNPL payment,evasive,bangalore,,,,vague timeline,True,False
"Amit ji, ₹12000 EMI 37 din se pending hai. Late fees ₹1000 ho chuka hai. UPI se kar dein: rzp.io/pay. Abhi tak payment nahi aayi.","Sir, ek baar maaf karein. Bekku transaction kar dunga, 2 din mein.",promise_to_pay,37,12000,bike loan EMI,desperate,bangalore,2 days,13000,,apologetic,False,False
Vikram ji ₹25000 ka EMI bahut overdue hai. RBI ke rules ke mutabiq humein aapka CIBIL score affect karna padega. Turant contact karein.,"Yaar, sach mein paisa nahi hai. Mummy hospital mein hain, 10 din aur do please",needs_more_time,47,25000,personal loan EMI,desperate,delhi,10 days,25000,,family emergency,True,False
₹15000 bike loan EMI ka 53 din ho gaye. RBI ke rules ke mutabiq aapko paisa dena hai,"Maine paisa dena hai, par abhi nahi ho payega. Aap log thoda time do. Main aapko paisa dena hai, lekin abhi nahi ho payega 🙏",refusal,53,15000,bike loan EMI,worried,mumbai,,,,financial constraint,False,False
"Sneha ji ₹1100 EMI 30 din se overdue hai, CIBIL score pe asar padega. Aaj settle karein?","Nako, bhai paisa arrange kar rahi hoon, 3 din mein utaar dungi, thoda time do 🙏",needs_more_time,30,1100,personal loan EMI,polite,hyderabad,3 din,1100,,financial difficulty,True,False
"Arre, aapka bike loan EMI ₹28000 ho gaya hai. Aap please settlement offer consider karein. CIBIL score kharab ho raha hai.","Lagech, thoda time chahiye. Next week try karta hun.",refusal,67,28000,bike loan EMI,cooperative,hyderabad,next week,10000,,time constraint,True,False
Namma ₹35000 EMI 3 mahine se pending hai. CIBIL score kharab ho sakta hai. ₹17500 abhi bhej sakte hain?,Bekku sir ₹10000 hi bhej sakta hun. Baaki 10 tarikh ko try karta hun. 😢,partial_payment,81,35000,business loan EMI,cooperative,bangalore,10th,25000,,cash flow,True,False
"Sir, ₹30000 bike loan EMI 2 months se pending hai. Aapki CIBIL report affect ho rahi hai. ₹4500 late fees bhi lage hain. Settlement offer hai, ₹28500 me EMI close kar sakte hain. UPI se kar dein: rzp.io/pay","enti, okay ra, ₹28500 me close karwa lo, aaj hi transfer karta hoon",promise_to_pay,83,28500,bike loan EMI,cooperative,hyderabad,today,28500,,,True,False
Suresh ji ₹5200 ka EMI due hai. Bekku payment karein. Aapka account settle ho jayega.,"Illa, maine paise nahi hai. Ek hafte mein karenge.",dispute,29,5200,business loan EMI,evasive,bangalore,1 week,5200,,financial difficulties,False,False
"Amit ji, ₹2200 ka payment 13 din se pending hai. UPI maadtini use karke settle kar sakte hain. Link: <payment link>","Illa sir, abhi nahi ho payega. Bekku 2-3 din mein kar deta hun 🤞",refusal,13,2200,BNPL payment,polite,bangalore,2-3 days,2200,,temporary financial difficulty,False,False
"Sir, aapka ₹8000 ka EMI 18 din se pending hai. CIBIL score impact hoga, UPI maadtini karein","🙏 sorry sir, maine 10 din pehle payment kiya tha, aapke system mein issue hai, aap adjust kar dena",dispute,18,8000,business loan EMI,desperate,bangalore,,,transaction delay,system error,True,False
"₹18000 bike loan EMI pending hai, ₹2000 late fees bhi lag gaya hai. Aapko enti tension hai, settle kar lete hain ₹15000 mein.","thoda time do, kal tak karne ki koshish karta hun 🙏",refusal,61,18000,bike loan EMI,evasive,hyderabad,tomorrow,15000,,request for time,False,False
"Rahul ji, ₹50000 ki EMI 39 din ho gaye overdue. Aapka CIBIL score affect ho sakta hai. UPI se payment karne ke liye link hai: rzp.io/pay. Turant karein.","yaar bhai, kal office se salary aayegi. Pakka kal hi payment kar dunga 🙏",promise_to_pay,39,50000,personal loan EMI,polite,delhi,kal,50000,,busy,True,False
"Aapka ₹7500 ka business loan EMI 33 din se overdue hai. Illa payment karo, toh late fees bhi lagegi.","Sir, mera loan 7500 ka tha, aap log galat amount maang rahe hain 🙏",dispute,33,7500,business loan EMI,worried,bangalore,,,incorrect amount,incorrect information,False,False
"Nako Priya ji, ₹18000 EMI overdue hai. Aapko pata hai CIBIL score par bhi asar padta hai. ₹9000 abhi de sakte hai to late fees bach sakte hai.","Sorry bhai, ₹9000 thoda mushkil hai. ₹4500 abhi de sakti hun, baaki 15 tarikh ko.",partial_payment,14,18000,personal loan EMI,desperate,mumbai,15 days,4500,,,True,False
"₹30000 ka bike loan EMI pending hai, 89 days se due hai. RBI guidelines ke mutabiq, CIBIL score kharab hoga. Kuch karein, re?","Thoda time chahiye, kal baat karte hain, abhi busy hun",refusal,89,30000,bike loan EMI,evasive,mumbai,,,,lack of time,True,False
"Sunil ji, aapki ₹10000 bike loan EMI pending hai. 15 din ho gaye hain. Aapko UPI se payment karna hoga.","Yaar, ₹5000 abhi bhej sakta hun, baaki 25 tarikh ko bhejunga.",partial_payment,15,10000,bike loan EMI,cooperative,delhi,25,5000,,,False,False
"Yaar ₹9000 due hai, bhai. Sun, aap turant payment karein. Late fees bhi lag rahi hai.","Mujhe thoda time chahiye, bhai. Main kal ₹3000 bhej deta hoon, baaki amount agle hafte tak denge. 😔",dispute,82,9000,business loan EMI,evasive,delhi,next week,6000,partial payment,time constraint,False,False
"Amit ji, ₹3800 ki EMI 57 din se due hai. Aapka CIBIL score affect ho sakta hai. Abhi payment kijiye: rzp.io/pay","Bhai, settlement kar lo. 2000 de dunga",promise_to_pay,57,3800,mobile loan EMI,cooperative,bangalore,,2000,partial payment,,True,False
"Sir ₹7500 EMI pending hai, 17 din ho gaye. CIBIL score par impact padega. Bekku please clear karein.","Sir ₹10000 kal transaction karta hun, ₹15000 agle hafte mein.",refusal,17,7500,mobile loan EMI,resigned,bangalore,next_week,7500,,partial_payment,True,False
"Raj ji, ₹3200 EMI 17 din overdue. ₹3240 (late fees) jaldi karein: bhim.co/pay. CIBIL score impact ho sakta hai.","sorry sir, this weekend zarur kar dunga, thoda ghar ki tension hai 🤕 😓",promise_to_pay,17,3200,BNPL payment,worried,delhi,weekend,3240,,family issues,True,False
"Rajesh ji, ₹28000 bike loan EMI 75 days overdue hai. Abhi UPI se payment karein: rzp.io/pay, nahi toh late fees bhi lage hain","boss, sorry yaar, abhi kal tak kar dunga, okay ra? 🙏🙏",promise_to_pay,75,28000,bike loan EMI,polite,hyderabad,kal,28000,,apologetic,False,False
"Sir, ₹9000 EMI pending hai. Settlement offer hai. 8000 de dijiye, baaki maaf. Kab tak payment kar rahe hain?","bhai, 7000 abhi de deta hun, baaki 5 din mein, okay?",partial_payment,77,9000,credit line EMI,polite,hyderabad,5,7000,,temporary financial difficulty,False,True
"Sir, ₹12000 EMI 32 din se pending hai. Full payment karein, nahi toh CIBIL score kharab ho sakta hai.","Sir, abhi ₹6000 bhej sakta hun. Baaki 10 tarikh ko bhejunga.",partial_payment,32,12000,BNPL payment,polite,bangalore,10,6000,,,True,False
"Suresh ji, ₹6500 bike loan EMI 60 din se overdue hai. Late fees lag rahi hai. Turant UPI se payment karein.","Bhai, sach mein paisa nahi h. Mummy hospital mein hain, 15 din baad settle karunga 🙏",needs_more_time,60,6500,bike loan EMI,desperate,mumbai,15_days,6500,,family_problem,False,False
"Hi Anna, aapka ₹12000 ka BNPL payment 13 din se overdue hai. Aap full payment kar sakte hain ya partial payment kar sakte hain? UPI se payment karne ke liye yeh link use karein: <link>","Boss ₹6000 abhi bhej raha hun, baaki 10 din mein zaroor bhejunga",partial_payment,13,12000,BNPL payment,polite,hyderabad,10,6000,,,False,False
